-10.24
327367748,-0.71,2.24,-9.349228304,0.08,0.71,-9.96
350190240,-0.04,1.41,-10.71
350193972,0.00,1.10,-10.79
350197688,-0.12,0.86,-10.40
350201436,0.08,0.86,-10.55
350205148,0.31,0.51,-10.12
350208880,0.08,0.75,-10.28
350212604,0.27,0.71,-10.12
350216336,0.43,0.82,-10.08
350220052,0.12,0.98,-9.96
350223724,0.08,0.94,-10.00
350227420,0.12,1.06,-9.81
350231096,0.35,0.90,-9.96
350234756,0.20,1.10,-10.16
350238480,0.20,1.10,-10.04
350242188,0.04,1.29,-10.08
350245904,0.20,1.73,-10.20
350249616,0.27,1.69,-10.55
350253344,0.08,1.73,-10.36
350257084,-0.16,1.41,-10.43
350260836,0.04,1.26,-10.40
350264552,0.04,1.06,-10.36
350268272,0.04,0.78,-10.47
350271984,0.00,0.78,-10.63
350275696,0.04,0.75,-10.59
350279416,-0.04,0.90,-10.67
350283136,0.04,0.82,-10.83
350286860,0.08,0.78,-10.79
350290564,0.20,0.63,-10.90
350294284,0.08,0.82,-10.83
350297992,0.20,1.06,-10.55
350301712,0.20,1.53,-10.43
350305436,0.12,1.80,-10.28
350309144,0.00,1.80,-10.47
350312844,0.04,2.12,-10.24
350316572,0.04,2.20,-10.32
350320284,0.04,2.08,-10.40
350323996,0.08,1.80,-10.32
350327720,0.04,1.65,-10.20
350331432,0.04,1.45,-10.40
350335152,0.08,1.06,-10.67
350338868,0.04,0.78,-10.36
350342580,0.24,0.63,-10.20
350346304,0.24,0.78,-10.20
350350016,0.27,0.78,-9.81
350353680,0.24,0.71,-9.96
350357344,0.43,1.10,-9.85
350361012,0.31,0.94,-10.08
350364728,0.27,1.02,-10.24
350368448,0.16,1.02,-9.85
350372112,0.08,1.06,-10.24
350375828,0.20,1.26,-10.20
350379552,0.20,1.41,-10.28
350383276,0.12,1.14,-10.24
350387004,0.16,1.26,-10.36
350390720,0.00,1.29,-10.04
350394424,0.08,1.33,-10.24
350398140,0.08,1.29,-10.36
350401860,0.12,1.33,-10.51
350405596,0.04,1.18,-10.75
350409316,-0.04,1.22,-11.06
350413048,0.00,1.26,-11.18
350416760,-0.12,1.57,-11.30
350420508,-0.08,1.69,-11.41
350424248,-0.12,1.92,-11.38
350427988,-0.08,2.04,-11.06
350431720,-0.04,2.04,-11.10
