96015416,4,500
97215096,0.00,1.14,-10.40
97218748,0.04,1.02,-10.24
97222412,0.04,0.78,-10.55
97226072,0.12,0.47,-10.24
97229748,0.04,0.43,-10.24
97233412,-0.04,0.35,-10.08
97237072,-0.04,0.27,-9.18
97240668,0.00,-0.04,-8.67
97244248,0.00,-0.43,-9.53
97247856,0.04,-0.82,-9.61
97251444,0.00,-1.02,-10.47
97255096,0.00,-0.90,-10.47
97258756,-0.12,-0.51,-10.28
97262452,-0.27,-0.24,-10.28
97266164,-0.24,0.08,-10.87
97269836,-0.31,-0.24,-9.69
97273472,-0.16,-0.43,-10.24
97277176,-0.31,-0.20,-10.40
97280872,-0.16,0.04,-10.67
97284532,0.00,0.12,-10.67
97288176,0.04,0.51,-10.83
97291824,0.00,0.27,-9.85
97295412,0.08,0.35,-9.77
97299016,0.08,0.24,-9.65
97302612,0.12,0.39,-9.81
97306216,0.20,0.04,-9.96
97309816,0.08,0.20,-10.00
97313424,0.00,-0.12,-9.92
97317020,0.00,0.27,-10.28
97320668,-0.20,0.04,-9.81
97324288,-0.39,0.35,-10.51
97327972,-0.63,0.35,-10.16
97331660,-0.71,0.35,-10.20
97335348,-0.71,0.08,-9.89
97338972,-0.94,0.08,-9.77
97342584,-0.98,0.08,-9.77
97346192,-0.82,0.04,-9.96
97349812,-1.02,0.27,-9.85
97353416,-0.55,0.67,-10.28
97357092,-0.51,0.55,-10.32
97360784,-0.39,1.18,-10.16
97364468,-0.43,1.02,-10.16
97368144,-0.39,1.10,-10.51
97371824,-0.24,0.98,-10.63
97375504,-0.24,1.02,-10.28
97379184,-0.20,1.02,-10.32
97382860,-0.31,1.10,-10.94
97386548,-0.12,0.94,-10.63
97390220,-0.20,1.33,-10.83
97393888,0.00,0.94,-9.92
97397464,-0.08,1.22,-9.45
97401080,0.20,0.67,-9.02
97404672,0.47,0.27,-9.38
97408288,0.35,0.12,-9.38
97411876,0.27,0.00,-9.92
97415460,0.16,0.08,-10.12
97419132,-0.04,0.39,-10.67
97422796,0.00,0.16,-10.51
97426444,-0.12,-0.31,-9.57
97430084,-0.04,0.12,-10.55
97433760,0.04,-0.35,-9.89
97437376,0.08,-0.27,-9.85
97440988,0.20,-0.55,-9.69
97444604,0.16,-0.16,-9.57
97448236,0.24,0.16,-10.24
97451904,0.16,0.12,-10.20
97455564,0.12,0.16,-10.28
97459224,0.00,0.24,-10.47
97462872,-0.08,0.39,-10.43
97466548,-0.08,0.16,-10.36
97470212,0.00,0.04,-10.28
97473840,0.00,0.35,-10.28
97477480,0.04,0.31,-10.04
97481136,0.12,0.08,-9.69
97484720,0.16,0.00,-10.04
97488380,0.16,0.08,-9.49
97491984,0.16,0.24,-9.85
97495592,0.24,0.04,-10.32
97499240,0.00,0.20,-10.32
97502880,0.04,0.35,-10.00
97506508,0.00,0.43,-10.43
97510140,0.00,0.27,-10.43
97513784,0.00,0.47,-10.24
97517420,0.20,0.47,-9.57
97521024,0.04,0.35,-10.32
97524696,0.20,0.31,-10.36
97528372,0.20,0.39,-10.00
97532028,0.12,0.24,-10.04
97535700,0.08,0.16,-10.12
97539364,0.08,0.24,-9.92
97542968,0.12,0.24,-9.89
97546576,0.04,0.27,-10.32
97550212,0.00,0.20,-9.92
97553808,0.04,0.12,-9.92
97557392,0.00,0.04,-10.12
97561036,-0.04,0.12,-10.43
97564716,0.00,0.08,-10.20
97568352,0.00,0.04,-10.08
97571992,0.04,0.08,-10.00
97575616,0.00,0.16,-10.24
97579260,0.00,0.08,-9.81
97582844,-0.04,0.12,-10.20
97586516,-0.78,-0.31,-8.75
97590160,-1.61,-0.47,-8.90
97593800,-1.84,-0.71,-9.96
97597432,-1.92,-0.47,-10.79
97601136,-2.16,-0.31,-10.90
97604832,-2.39,-0.04,-10.51
97608524,-2.59,0.31,-10.12
97612208,-2.59,0.08,-9.61
97615812,-2.75,-0.27,-9.53
97619452,-2.98,0.16,-10.51
97623132,-2.90,-0.08,-10.75
97626816,-3.14,-0.04,-10.40
97630504,-3.18,0.12,-9.69
97634132,-3.02,0.43,-10.59
97637816,-3.02,0.31,-10.75
97641500,-3.30,0.55,-10.08
97645176,-2.98,0.59,-10.40
97648848,-3.49,1.06,-10.00
97652512,-3.77,1.33,-9.26
97656140,-3.69,1.65,-8.83
97659768,-3.65,1.84,-9.65
97663388,-3.69,1.96,-9.38
97667012,-3.53,2.12,-10.16
97670712,-3.30,2.39,-10.28
97674400,-3.26,2.47,-9.34
97678024,-2.98,2.51,-9.77
97681648,-2.43,2.55,-10.59
97685344,-1.92,2.71,-11.26
97689032,-0.67,2.35,-13.53
97692728,-0.20,2.59,-15.14
97696396,-0.16,2.98,-14.36
97700072,-3.02,4.98,3.45
97703672,-2.98,2.31,-0.35
97707292,-0.39,1.37,-9.89
97710924,0.47,-0.27,-15.18
97714600,0.27,0.31,-15.06
97718260,0.67,2.28,-11.49
97721944,-0.04,2.86,-6.79
97725556,-0.08,2.43,-7.14
97729168,1.10,1.49,-11.14
97732832,2.94,0.39,-14.24
97736496,2.55,0.55,-10.98
97740160,1.10,0.35,-8.00
97743760,1.06,-0.20,-8.20
97747368,2.28,-1.06,-11.30
97751056,3.30,-0.90,-12.32
97754728,2.43,-0.47,-9.69
97758360,2.39,-0.82,-9.85
97761984,2.86,-0.82,-10.79
97765660,3.10,-1.22,-11.18
97769352,3.57,-1.18,-10.32
97773044,3.41,-1.26,-9.69
97776692,3.65,-1.49,-9.61
97780324,4.08,-1.80,-10.55
97784004,4.16,-1.80,-10.71
97787692,4.12,-1.61,-9.41
97791340,4.20,-1.57,-10.04
97795020,4.47,-1.57,-10.12
97798716,4.79,-1.49,-10.20
97802392,4.75,-1.10,-10.00
97806060,4.67,-1.29,-9.69
97809696,4.71,-1.92,-9.73
97813332,4.75,-1.73,-10.36
97817020,4.67,-1.65,-10.16
97820708,4.31,-1.77,-9.92
97824344,4.24,-1.65,-9.85
97827976,3.41,-1.69,-8.43
97831600,0.27,-1.49,-6.63
97835220,0.55,-1.41,-10.20
97838912,0.20,-1.80,-10.24
97842584,-0.24,-1.73,-10.04
97846288,-0.24,-1.06,-10.20
97849980,0.16,-0.31,-9.89
97853612,0.16,0.12,-9.41
97857216,0.24,0.39,-9.34
97860812,0.63,0.86,-9.22
97864412,0.51,0.78,-8.87
97868008,0.51,1.29,-8.87
97871616,0.86,1.49,-9.26
97875220,0.86,2.08,-9.18
97878820,1.06,2.47,-8.87
97882416,1.02,2.55,-8.94
97886016,1.14,2.71,-8.87
97889640,0.98,2.71,-9.38
97893256,1.22,2.79,-9.10
97896864,1.14,2.71,-8.98
97900476,0.90,2.51,-9.41
97904072,1.14,2.31,-9.89
97907692,0.90,1.57,-9.81
97911292,0.71,1.33,-10.00
97914952,0.75,0.82,-10.00
97918608,0.75,0.35,-10.32
97922276,0.59,-0.24,-10.87
97925960,0.47,-0.51,-10.59
97929636,0.59,-0.78,-11.06
97933304,0.55,-1.14,-11.10
97936996,0.39,-1.37,-10.98
97940684,0.35,-1.61,-11.81
97944380,0.16,-1.69,-10.94
97948060,0.04,-1.69,-11.26
97951736,-0.20,-2.28,-10.47
97955444,-0.39,-1.37,-11.26
97959136,-0.59,-1.73,-10.83
97962840,-0.67,-1.49,-10.55
97966540,-0.71,-1.33,-10.71
97970256,-0.43,-1.29,-10.28
97973956,-0.67,-0.94,-10.47
97977652,-0.75,-0.86,-11.06
97981360,-0.39,-0.63,-10.59
97985056,-0.12,-0.16,-11.45
97988768,0.04,-0.31,-12.04
97992428,0.35,-0.27,-12.63
97996120,0.67,-0.16,-12.59
97999796,0.63,0.00,-12.04
98003444,0.35,0.04,-11.85
98007096,0.16,0.00,-11.65
98010756,0.20,-0.12,-11.41
98014428,-0.04,0.16,-11.61
98018116,-0.24,0.08,-10.94
98021784,-0.31,0.00,-10.71
98025452,-0.47,-0.16,-10.67
98029156,-0.71,0.12,-10.55
98032844,-0.63,0.12,-10.20
98036524,-0.47,0.16,-10.20
98040204,-0.35,0.35,-10.55
98043884,-0.31,0.63,-10.16
98047576,-0.43,0.86,-10.47
98051260,-0.39,0.86,-9.81
98054872,-0.51,1.33,-9.77
98058496,-0.47,1.37,-9.77
98062120,-0.71,1.33,-9.65
98065748,-0.51,1.45,-9.30
98069368,-0.55,1.61,-9.69
98072992,-0.43,1.61,-9.53
98076616,-0.31,1.57,-9.73
98080256,-0.35,1.49,-9.53
98083884,-0.16,1.49,-9.69
98087512,-0.16,1.29,-9.61
98091136,0.00,1.22,-9.61
98094724,-0.04,1.33,-9.96
98098348,0.04,1.02,-9.57
98101948,0.04,0.94,-10.12
98105600,0.12,0.86,-10.16
98109268,0.24,0.86,-9.49
98112872,0.27,0.71,-9.53
98116480,0.20,0.82,-9.81
98120080,0.27,0.71,-9.85
98123700,0.35,0.78,-9.53
98127316,0.31,0.67,-9.96
98130928,0.27,0.47,-9.45
98134528,-0.35,1.37,-4.20
98138152,-0.24,1.26,-4.47
98141792,0.39,-0.20,-8.43
98145396,0.75,-1.22,-11.34
98149100,0.94,-1.80,-10.98
98152780,0.71,-1.57,-10.98
98156472,0.16,-0.71,-10.24
98160152,-0.27,-0.04,-9.57
98163788,-0.35,0.08,-9.69
98167388,-0.55,-0.43,-9.30
98171032,-0.47,-0.75,-9.65
98174676,-0.35,-0.55,-9.89
98178324,-0.31,-1.26,-9.61
98181968,-0.12,-1.33,-9.69
98185608,-0.08,-0.59,-10.59
98189300,-0.16,-0.39,-10.36
98193004,-0.08,-0.39,-9.85
98196632,-0.24,0.00,-10.04
98200300,-0.20,0.12,-10.08
98203972,-0.20,0.47,-10.36
98207668,-0.08,0.31,-10.12
98211352,0.08,0.39,-10.16
98215008,-0.08,0.67,-10.63
98218684,0.20,0.55,-10.43
98222340,0.00,0.59,-10.59
98225988,0.16,0.86,-10.71
98229664,0.12,0.98,-10.67
98233336,0.04,1.02,-11.18
98237000,0.16,1.02,-10.83
98240684,0.08,0.94,-11.38
98244348,0.04,0.71,-10.87
98248004,-0.04,0.71,-10.87
98251692,-0.08,0.27,-10.32
98255364,-0.24,0.55,-10.59
98259048,-0.39,0.39,-10.87
98262724,-0.59,0.39,-10.40
98266400,-0.59,0.20,-10.32
98270076,-0.59,0.20,-10.55
98273760,-0.47,0.12,-10.28
98277432,-0.47,0.08,-10.04
98281100,-0.51,0.16,-10.16
98284792,-0.47,0.20,-10.12
98288472,-0.43,0.35,-9.96
98292100,-0.27,0.24,-9.92
98295740,-0.35,0.75,-9.89
98299368,-0.47,0.59,-10.04
98303044,-0.24,0.75,-10.28
98306720,-0.16,1.57,-7.53
98310352,0.08,1.69,-6.83
98313944,0.63,0.86,-8.43
98317560,0.90,0.12,-10.08
98321200,0.86,0.00,-10.51
98324852,0.59,0.31,-10.67
98328516,0.12,0.82,-10.28
98332164,0.00,0.90,-10.12
98335804,-0.08,0.86,-10.28
98339468,-0.16,0.39,-10.32
98343132,0.00,0.08,-9.89
98346720,-0.08,-0.08,-10.55
98350400,-0.04,-0.35,-10.43
98354100,-0.04,-0.78,-10.00
98357784,-0.04,-0.16,-10.59
98361460,0.00,-0.47,-10.59
98365104,0.00,-0.63,-10.32
98368780,-0.08,-0.16,-10.51
98372448,0.00,-0.67,-9.92
98376052,0.04,-0.55,-9.49
98379672,0.08,-0.75,-9.38
98383288,0.04,-0.55,-9.96
98386896,0.00,-0.71,-9.85
98390508,0.04,-0.27,-10.00
98394160,0.00,-0.12,-10.43
98397824,0.04,0.24,-10.20
98401480,-0.08,0.04,-10.08
98405120,0.00,0.39,-10.28
98408772,-0.20,0.31,-9.73
98412380,-0.04,0.71,-10.20
98416032,0.00,0.63,-10.12
98419684,0.04,0.90,-10.20
98423336,-0.08,0.75,-10.32
98427012,0.04,0.75,-9.92
98430600,0.04,0.63,-9.89
98434200,0.24,0.75,-9.89
98437808,0.24,0.43,-10.12
98441460,0.55,0.51,-9.61
98445064,0.27,0.24,-9.73
98448676,0.39,0.20,-9.92
98452272,0.12,0.04,-9.89
98455864,0.20,0.00,-10.47
98459496,0.16,0.00,-10.16
98463148,0.08,-0.16,-10.40
98466824,-0.31,-0.31,-10.51
98470512,-0.08,0.00,-10.00
98474160,-0.08,0.04,-10.24
98477808,-0.27,0.00,-10.67
98481476,-0.31,0.12,-10.24
98485164,-0.24,0.08,-9.89
98488776,-0.20,0.08,-9.69
98492372,-0.12,0.27,-10.08
98496052,-0.16,0.47,-10.24
98499744,-0.20,0.63,-9.92
98503356,-0.04,0.71,-10.51
98507040,0.04,0.71,-10.12
98510692,0.04,0.67,-9.89
98514296,-0.12,0.63,-10.16
98517976,-0.04,0.90,-10.43
98521652,-0.08,0.39,-9.53
98525248,0.00,0.63,-10.28
98528892,0.08,0.67,-10.36
98532552,0.04,0.67,-10.04
98536196,0.20,0.82,-10.40
98539860,0.24,0.90,-9.81
98543464,0.20,0.24,-9.69
98547076,0.20,0.39,-10.24
98550748,0.08,0.35,-10.08
98554388,0.16,0.08,-9.85
98557980,0.12,0.00,-9.69
98561560,-0.04,0.04,-9.85
98565172,-0.12,-0.20,-10.36
98568856,-0.16,-0.35,-10.00
98572536,-0.31,-0.31,-9.92
98576176,-0.35,-0.08,-10.36
98579872,-0.39,0.27,-10.47
98583536,-0.67,0.00,-9.89
98587140,-0.59,0.12,-10.12
98590824,-0.67,0.04,-10.04
98594484,-0.75,0.04,-10.08
98598144,-0.55,0.12,-9.89
98601776,-0.55,0.24,-10.12
